symbol	name	locus_group
GAGE2E	G antigen 2E	protein-coding gene
GAGE3	G antigen 3	other
GAGE4	G antigen 4	protein-coding gene
GAGE5	G antigen 5	protein-coding gene
GAGE6	G antigen 6	protein-coding gene
GAGE7	G antigen 7	protein-coding gene
GAGE8	G antigen 8	protein-coding gene
GAGE10	G antigen 10	protein-coding gene
GAGE12B	G antigen 12B	protein-coding gene
GAGE12C	G antigen 12C	protein-coding gene
GAGE12D	G antigen 12D	protein-coding gene
GAGE12E	G antigen 12E	protein-coding gene
GAGE12F	G antigen 12F	protein-coding gene
GAGE12G	G antigen 12G	protein-coding gene
GAGE12H	G antigen 12H	protein-coding gene
GAGE12I	G antigen 12I	protein-coding gene
GAGE12J	G antigen 12J	protein-coding gene
GAGE13	G antigen 13	protein-coding gene
GAK	cyclin G associated kinase	protein-coding gene
GAL	galanin and GMAP prepropeptide	protein-coding gene
GAL3ST1	galactose-3-O-sulfotransferase 1	protein-coding gene
GAL3ST2	galactose-3-O-sulfotransferase 2	protein-coding gene
GAL3ST3	galactose-3-O-sulfotransferase 3	protein-coding gene
GAL3ST4	galactose-3-O-sulfotransferase 4	protein-coding gene
GALC	galactosylceramidase	protein-coding gene
GALE	UDP-galactose-4-epimerase	protein-coding gene
GALK1	galactokinase 1	protein-coding gene
GALK2	galactokinase 2	protein-coding gene
GALM	galactose mutarotase	protein-coding gene
GALNS	galactosamine (N-acetyl)-6-sulfatase	protein-coding gene
GALNT1	polypeptide N-acetylgalactosaminyltransferase 1	protein-coding gene
GALNT2	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding gene
GALNT3	polypeptide N-acetylgalactosaminyltransferase 3	protein-coding gene
GALNT4	polypeptide N-acetylgalactosaminyltransferase 4	protein-coding gene
GALNT5	polypeptide N-acetylgalactosaminyltransferase 5	protein-coding gene
GALNT6	polypeptide N-acetylgalactosaminyltransferase 6	protein-coding gene
GALNT7	polypeptide N-acetylgalactosaminyltransferase 7	protein-coding gene
GALNT8	polypeptide N-acetylgalactosaminyltransferase 8	protein-coding gene
GALNT9	polypeptide N-acetylgalactosaminyltransferase 9	protein-coding gene
GALNT10	polypeptide N-acetylgalactosaminyltransferase 10	protein-coding gene
GALNT11	polypeptide N-acetylgalactosaminyltransferase 11	protein-coding gene
GALNT12	polypeptide N-acetylgalactosaminyltransferase 12	protein-coding gene
GALNT13	polypeptide N-acetylgalactosaminyltransferase 13	protein-coding gene
GALNT14	polypeptide N-acetylgalactosaminyltransferase 14	protein-coding gene
GALNT15	polypeptide N-acetylgalactosaminyltransferase 15	protein-coding gene
GALNT16	polypeptide N-acetylgalactosaminyltransferase 16	protein-coding gene
GALNT17	polypeptide N-acetylgalactosaminyltransferase 17	protein-coding gene
GALNT18	polypeptide N-acetylgalactosaminyltransferase 18	protein-coding gene
GALNTL5	polypeptide N-acetylgalactosaminyltransferase like 5	protein-coding gene
GALNTL6	polypeptide N-acetylgalactosaminyltransferase like 6	protein-coding gene
GALNTL6-AS1	GALNTL6 antisense RNA 1	non-coding RNA
GALP	galanin like peptide	protein-coding gene
GALR1	galanin receptor 1	protein-coding gene
GALR2	galanin receptor 2	protein-coding gene
GALR3	galanin receptor 3	protein-coding gene
GALT	galactose-1-phosphate uridylyltransferase	protein-coding gene
GAMT	guanidinoacetate N-methyltransferase	protein-coding gene
GAMTP1	guanidinoacetate N-methyltransferase pseudogene 1	pseudogene
GAMTP2	guanidinoacetate N-methyltransferase pseudogene 2	pseudogene
GAN	gigaxonin	protein-coding gene
GANAB	glucosidase II alpha subunit	protein-coding gene
GANC	glucosidase alpha, neutral C	protein-coding gene
GAP43	growth associated protein 43	protein-coding gene
GAPDH	glyceraldehyde-3-phosphate dehydrogenase	protein-coding gene
GAPDHL5	glyceraldehyde-3-phosphate dehydrogenase-like 5, pseudogene	pseudogene
GAPDHP1	glyceraldehyde-3-phosphate dehydrogenase pseudogene 1	pseudogene
GAPDHP2	glyceraldehyde-3-phosphate dehydrogenase pseudogene 2	pseudogene
GAPDHP14	glyceraldehyde-3-phosphate dehydrogenase pseudogene 14	pseudogene
GAPDHP15	glyceraldehyde-3-phosphate dehydrogenase pseudogene 15	pseudogene
GAPDHP16	glyceraldehyde-3-phosphate dehydrogenase pseudogene 16	pseudogene
GAPDHP17	glyceraldehyde-3-phosphate dehydrogenase pseudogene 17	pseudogene
GAPDHP19	glyceraldehyde 3 phosphate dehydrogenase pseudogene 19	pseudogene
GAPDHP20	glyceraldehyde 3 phosphate dehydrogenase pseudogene 20	pseudogene
GAPDHP21	glyceraldehyde 3 phosphate dehydrogenase pseudogene 21	pseudogene
GAPDHP22	glyceraldehyde 3 phosphate dehydrogenase pseudogene 22	pseudogene
GAPDHP23	glyceraldehyde 3 phosphate dehydrogenase pseudogene 23	pseudogene
GAPDHP24	glyceraldehyde 3 phosphate dehydrogenase pseudogene 24	pseudogene
GAPDHP25	glyceraldehyde 3 phosphate dehydrogenase pseudogene 25	pseudogene
GAPDHP26	glyceraldehyde 3 phosphate dehydrogenase pseudogene 26	pseudogene
GAPDHP27	glyceraldehyde 3 phosphate dehydrogenase pseudogene 27	pseudogene
GAPDHP28	glyceraldehyde 3 phosphate dehydrogenase pseudogene 28	pseudogene
GAPDHP29	glyceraldehyde 3 phosphate dehydrogenase pseudogene 29	pseudogene
GAPDHP30	glyceraldehyde 3 phosphate dehydrogenase pseudogene 30	pseudogene
GAPDHP31	glyceraldehyde 3 phosphate dehydrogenase pseudogene 31	pseudogene
GAPDHP32	glyceraldehyde 3 phosphate dehydrogenase pseudogene 32	pseudogene
GAPDHP33	glyceraldehyde 3 phosphate dehydrogenase pseudogene 33	pseudogene
GAPDHP34	glyceraldehyde 3 phosphate dehydrogenase pseudogene 34	pseudogene
GAPDHP35	glyceraldehyde 3 phosphate dehydrogenase pseudogene 35	pseudogene
GAPDHP36	glyceraldehyde 3 phosphate dehydrogenase pseudogene 36	pseudogene
GAPDHP37	glyceraldehyde 3 phosphate dehydrogenase pseudogene 37	pseudogene
GAPDHP38	glyceraldehyde 3 phosphate dehydrogenase pseudogene 38	pseudogene
GAPDHP39	glyceraldehyde 3 phosphate dehydrogenase pseudogene 39	pseudogene
GAPDHP40	glyceraldehyde 3 phosphate dehydrogenase pseudogene 40	pseudogene
GAPDHP41	glyceraldehyde 3 phosphate dehydrogenase pseudogene 41	pseudogene
GAPDHP42	glyceraldehyde 3 phosphate dehydrogenase pseudogene 42	pseudogene
GAPDHP43	glyceraldehyde 3 phosphate dehydrogenase pseudogene 43	pseudogene
GAPDHP44	glyceraldehyde 3 phosphate dehydrogenase pseudogene 44	pseudogene
GAPDHP45	glyceraldehyde 3 phosphate dehydrogenase pseudogene 45	pseudogene
GAPDHP46	glyceraldehyde 3 phosphate dehydrogenase pseudogene 46	pseudogene
GAPDHP47	glyceraldehyde 3 phosphate dehydrogenase pseudogene 47	pseudogene
GAPDHP48	glyceraldehyde 3 phosphate dehydrogenase pseudogene 48	pseudogene
GAPDHP49	glyceraldehyde 3 phosphate dehydrogenase pseudogene 49	pseudogene
GAPDHP50	glyceraldehyde 3 phosphate dehydrogenase pseudogene 50	pseudogene
GAPDHP51	glyceraldehyde 3 phosphate dehydrogenase pseudogene 51	pseudogene
GAPDHP52	glyceraldehyde 3 phosphate dehydrogenase pseudogene 52	pseudogene
GAPDHP53	glyceraldehyde 3 phosphate dehydrogenase pseudogene 53	pseudogene
GAPDHP54	glyceraldehyde 3 phosphate dehydrogenase pseudogene 54	pseudogene
GAPDHP55	glyceraldehyde 3 phosphate dehydrogenase pseudogene 55	pseudogene
GAPDHP56	glyceraldehyde 3 phosphate dehydrogenase pseudogene 56	pseudogene
GAPDHP57	glyceraldehyde 3 phosphate dehydrogenase pseudogene 57	pseudogene
GAPDHP58	glyceraldehyde 3 phosphate dehydrogenase pseudogene 58	pseudogene
GAPDHP59	glyceraldehyde-3-phosphate dehydrogenase pseudogene 59	pseudogene
GAPDHP60	glyceraldehyde-3-phosphate dehydrogenase pseudogene 60	pseudogene
GAPDHP61	glyceraldehyde 3 phosphate dehydrogenase pseudogene 61	pseudogene
GAPDHP62	glyceraldehyde 3 phosphate dehydrogenase pseudogene 62	pseudogene
GAPDHP63	glyceraldehyde 3 phosphate dehydrogenase pseudogene 63	pseudogene
GAPDHP64	glyceraldehyde-3-phosphate dehydrogenase pseudogene 64	pseudogene
GAPDHP65	glyceraldehyde 3 phosphate dehydrogenase pseudogene 65	pseudogene
GAPDHP66	glyceraldehyde-3-phosphate dehydrogenase pseudogene 66	pseudogene
GAPDHP67	glyceraldehyde 3 phosphate dehydrogenase pseudogene 67	pseudogene
GAPDHP68	glyceraldehyde 3 phosphate dehydrogenase pseudogene 68	pseudogene
GAPDHP69	glyceraldehyde 3 phosphate dehydrogenase pseudogene 69	pseudogene
GAPDHP70	glyceraldehyde 3 phosphate dehydrogenase pseudogene 70	pseudogene
GAPDHP71	glyceraldehyde-3-phosphate dehydrogenase pseudogene 71	pseudogene
GAPDHP72	glyceraldehyde-3-phosphate dehydrogenase pseudogene 72	pseudogene
GAPDHP73	glyceraldehyde-3-phosphate dehydrogenase pseudogene 73	pseudogene
GAPDHP74	glyceraldehyde-3-phosphate dehydrogenase pseudogene 74	pseudogene
GAPDHP75	glyceraldehyde-3-phosphate dehydrogenase pseudogene 75	pseudogene
GAPDHP76	glyceraldehyde-3-phosphate dehydrogenase pseudogene 76	pseudogene
GAPDHS	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic	protein-coding gene
GAPLINC	gastric adenocarcinoma associated, positive CD44 regulator, long intergenic non-coding RNA	non-coding RNA
GAPT	GRB2 binding adaptor protein, transmembrane	protein-coding gene
GAPVD1	GTPase activating protein and VPS9 domains 1	protein-coding gene
GAR1	GAR1 ribonucleoprotein	protein-coding gene
GAREM1	GRB2 associated regulator of MAPK1 subtype 1	protein-coding gene
GAREM2	GRB2 associated regulator of MAPK1 subtype 2	protein-coding gene
GARNL3	GTPase activating Rap/RanGAP domain like 3	protein-coding gene
GARS1	glycyl-tRNA synthetase 1	protein-coding gene
GARS1-DT	GARS1 divergent transcript	non-coding RNA
GARS1P1	glycyl-tRNA synthetase 1 pseudogene 1	pseudogene
GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase	protein-coding gene
GAS1	growth arrest specific 1	protein-coding gene
GAS1RR	GAS1 adjacent regulatory RNA	non-coding RNA
GAS2	growth arrest specific 2	protein-coding gene
GAS2L1	growth arrest specific 2 like 1	protein-coding gene
GAS2L1P1	growth arrest specific 2 like 1 pseudogene 1	pseudogene
GAS2L1P2	growth arrest specific 2 like 1 pseudogene 2	pseudogene
GAS2L2	growth arrest specific 2 like 2	protein-coding gene
GAS2L3	growth arrest specific 2 like 3	protein-coding gene
GAS5	growth arrest specific 5	non-coding RNA
GAS5-AS1	GAS5 antisense RNA 1	non-coding RNA
GAS6	growth arrest specific 6	protein-coding gene
GAS6-AS1	GAS6 antisense RNA 1	non-coding RNA
GAS6-DT	GAS6 divergent transcript	non-coding RNA
GAS7	growth arrest specific 7	protein-coding gene
GAS8	growth arrest specific 8	protein-coding gene
GAS8-AS1	GAS8 antisense RNA 1	non-coding RNA
GASAL1	growth arrest associated lncRNA 1	non-coding RNA
GASK1A	golgi associated kinase 1A	protein-coding gene
GASK1B	golgi associated kinase 1B	protein-coding gene
GAST	gastrin	protein-coding gene
GATA1	GATA binding protein 1	protein-coding gene
GATA2	GATA binding protein 2	protein-coding gene
GATA2-AS1	GATA2 antisense RNA 1	non-coding RNA
GATA3	GATA binding protein 3	protein-coding gene
GATA3-AS1	GATA3 antisense RNA 1	non-coding RNA
GATA4	GATA binding protein 4	protein-coding gene
GATA5	GATA binding protein 5	protein-coding gene
GATA6	GATA binding protein 6	protein-coding gene
GATA6-AS1	GATA6 antisense RNA 1 (head to head)	non-coding RNA
GATAD1	GATA zinc finger domain containing 1	protein-coding gene
GATAD2A	GATA zinc finger domain containing 2A	protein-coding gene
GATAD2B	GATA zinc finger domain containing 2B	protein-coding gene
GATB	glutamyl-tRNA amidotransferase subunit B	protein-coding gene
GATC	glutamyl-tRNA amidotransferase subunit C	protein-coding gene
GATD1	glutamine amidotransferase like class 1 domain containing 1	protein-coding gene
GATD3A	glutamine amidotransferase like class 1 domain containing 3A	protein-coding gene
GATD3B	glutamine amidotransferase like class 1 domain containing 3B	protein-coding gene
GATM	glycine amidinotransferase	protein-coding gene
GATM-AS1	GATM antisense RNA 1	non-coding RNA
GAU1	GALNT8 antisense upstream 1	non-coding RNA
GBA	glucosylceramidase beta	protein-coding gene
GBA2	glucosylceramidase beta 2	protein-coding gene
GBA3	glucosylceramidase beta 3 (gene/pseudogene)	protein-coding gene
GBAP1	glucosylceramidase beta pseudogene 1	pseudogene
GBD2	gallbladder disease 2	phenotype
GBD3	gallbladder disease 3	phenotype
GBE1	1,4-alpha-glucan branching enzyme 1	protein-coding gene
GBF1	golgi brefeldin A resistant guanine nucleotide exchange factor 1	protein-coding gene
GBGT1	globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)	protein-coding gene
GBP1	guanylate binding protein 1	protein-coding gene
GBP1P1	guanylate binding protein 1 pseudogene 1	pseudogene
GBP2	guanylate binding protein 2	protein-coding gene
GBP3	guanylate binding protein 3	protein-coding gene
GBP4	guanylate binding protein 4	protein-coding gene
GBP5	guanylate binding protein 5	protein-coding gene
GBP6	guanylate binding protein family member 6	protein-coding gene
GBP7	guanylate binding protein 7	protein-coding gene
GBX1	gastrulation brain homeobox 1	protein-coding gene
GBX2	gastrulation brain homeobox 2	protein-coding gene
GC	GC vitamin D binding protein	protein-coding gene
GCA	grancalcin	protein-coding gene
GCASPC	gall bladder cancer associated suppressor of pyruvate carboxylase lncRNA	non-coding RNA
GCAT	glycine C-acetyltransferase	protein-coding gene
GCATP1	glycine C-acetyltransferase pseudogene 1	pseudogene
GCC1	GRIP and coiled-coil domain containing 1	protein-coding gene
GCC2	GRIP and coiled-coil domain containing 2	protein-coding gene
GCC2-AS1	GCC2 antisense RNA 1	non-coding RNA
GCDH	glutaryl-CoA dehydrogenase	protein-coding gene
GCF1	growth control factor 1	other
GCFC2	GC-rich sequence DNA-binding factor 2	protein-coding gene
GCG	glucagon	protein-coding gene
GCGR	glucagon receptor	protein-coding gene
GCH1	GTP cyclohydrolase 1	protein-coding gene
GCHFR	GTP cyclohydrolase I feedback regulator	protein-coding gene
GCK	glucokinase	protein-coding gene
GCKR	glucokinase regulator	protein-coding gene
GCLC	glutamate-cysteine ligase catalytic subunit	protein-coding gene
GCLM	glutamate-cysteine ligase modifier subunit	protein-coding gene
GCM1	glial cells missing transcription factor 1	protein-coding gene
GCM2	glial cells missing transcription factor 2	protein-coding gene
GCN1	GCN1 activator of EIF2AK4	protein-coding gene
GCNA	germ cell nuclear acidic peptidase	protein-coding gene
GCNAP1	GCNA pseudogene 1	pseudogene
GCNT1	glucosaminyl (N-acetyl) transferase 1	protein-coding gene
GCNT1P1	glucosaminyl (N-acetyl) transferase 1 pseudogene 1	pseudogene
GCNT1P2	glucosaminyl (N-acetyl) transferase 1, core 2 pseudogene 2	pseudogene
GCNT1P3	glucosaminyl (N-acetyl) transferase 1 pseudogene 3	pseudogene
GCNT1P4	glucosaminyl (N-acetyl) transferase 1 pseudogene 4	pseudogene
GCNT1P5	glucosaminyl (N-acetyl) transferase 1 pseudogene 5	pseudogene
GCNT2	glucosaminyl (N-acetyl) transferase 2 (I blood group)	protein-coding gene
GCNT2P1	GCNT2 pseudogene 1	pseudogene
GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type	protein-coding gene
GCNT4	glucosaminyl (N-acetyl) transferase 4	protein-coding gene
GCNT7	glucosaminyl (N-acetyl) transferase family member 7	protein-coding gene
GCOM1	GRINL1A complex locus 1	other
GCOM2	GRINL1B complex locus 2 (pseudogene)	pseudogene
GCSAM	germinal center associated signaling and motility	protein-coding gene
GCSAML	germinal center associated signaling and motility like	protein-coding gene
GCSAML-AS1	GCSAML antisense RNA 1	non-coding RNA
GCSH	glycine cleavage system protein H	protein-coding gene
GCSHP1	glycine cleavage system protein H pseudogene 1	pseudogene
GCSHP2	glycine cleavage system protein H pseudogene 2	pseudogene
GCSHP3	glycine cleavage system protein H pseudogene 3	pseudogene
GCSHP4	glycine cleavage system protein H pseudogene 4	pseudogene
GCSHP5	glycine cleavage system protein H pseudogene 5	pseudogene
GCSIR	GPR55 cis regulatory suppressor of immune response RNA	non-coding RNA
GCUD1	gastric cancer upregulated 1	other
GCY	growth control, Y chromosome influenced	phenotype
GDA	guanine deaminase	protein-coding gene
GDAP1	ganglioside induced differentiation associated protein 1	protein-coding gene
GDAP1L1	ganglioside induced differentiation associated protein 1 like 1	protein-coding gene
GDAP2	ganglioside induced differentiation associated protein 2	protein-coding gene
GDE1	glycerophosphodiester phosphodiesterase 1	protein-coding gene
GDF1	growth differentiation factor 1	protein-coding gene
GDF2	growth differentiation factor 2	protein-coding gene
GDF3	growth differentiation factor 3	protein-coding gene
GDF4	growth differentiation factor 4	other
GDF5	growth differentiation factor 5	protein-coding gene
GDF5-AS1	GDF5 antisense RNA 1	non-coding RNA
GDF6	growth differentiation factor 6	protein-coding gene
GDF7	growth differentiation factor 7	protein-coding gene
GDF9	growth differentiation factor 9	protein-coding gene
GDF10	growth differentiation factor 10	protein-coding gene
GDF11	growth differentiation factor 11	protein-coding gene
GDF15	growth differentiation factor 15	protein-coding gene
GDI1	GDP dissociation inhibitor 1	protein-coding gene
GDI2	GDP dissociation inhibitor 2	protein-coding gene
GDI2P1	GDP dissociation inhibitor 2 pseudogene 1	pseudogene
GDI2P2	GDP dissociation inhibitor 2 pseudogene 2	pseudogene
GDNF	glial cell derived neurotrophic factor	protein-coding gene
GDNF-AS1	GDNF antisense RNA 1	non-coding RNA
GDPD1	glycerophosphodiester phosphodiesterase domain containing 1	protein-coding gene
GDPD2	glycerophosphodiester phosphodiesterase domain containing 2	protein-coding gene
GDPD3	glycerophosphodiester phosphodiesterase domain containing 3	protein-coding gene
GDPD4	glycerophosphodiester phosphodiesterase domain containing 4	protein-coding gene
GDPD5	glycerophosphodiester phosphodiesterase domain containing 5	protein-coding gene
GDPGP1	GDP-D-glucose phosphorylase 1	protein-coding gene
GEM	GTP binding protein overexpressed in skeletal muscle	protein-coding gene
GEMIN2	gem nuclear organelle associated protein 2	protein-coding gene
GEMIN2P1	gem nuclear organelle associated protein 2 pseudogene 1	pseudogene
GEMIN2P2	gem nuclear organelle associated protein 2 pseudogene 2	pseudogene
GEMIN4	gem nuclear organelle associated protein 4	protein-coding gene
GEMIN5	gem nuclear organelle associated protein 5	protein-coding gene
GEMIN6	gem nuclear organelle associated protein 6	protein-coding gene
GEMIN7	gem nuclear organelle associated protein 7	protein-coding gene
GEMIN7-AS1	GEMIN7 antisense RNA 1	non-coding RNA
GEMIN8	gem nuclear organelle associated protein 8	protein-coding gene
GEMIN8P1	gem nuclear organelle associated protein 8 pseudogene 1	pseudogene
GEMIN8P2	gem nuclear organelle associated protein 8 pseudogene 2	pseudogene
GEMIN8P3	gem nuclear organelle associated protein 8 pseudogene 3	pseudogene
GEMIN8P4	gem nuclear organelle associated protein 8 pseudogene 4	pseudogene
GEN1	GEN1 Holliday junction 5' flap endonuclease	protein-coding gene
GET1	guided entry of tail-anchored proteins factor 1	protein-coding gene
GET1-SH3BGR	GET1-SH3BGR readthrough	other
GET3	guided entry of tail-anchored proteins factor 3, ATPase	protein-coding gene
GET4	guided entry of tail-anchored proteins factor 4	protein-coding gene
GFAP	glial fibrillary acidic protein	protein-coding gene
GFER	growth factor, augmenter of liver regeneration	protein-coding gene
GFI1	growth factor independent 1 transcriptional repressor	protein-coding gene
GFI1B	growth factor independent 1B transcriptional repressor	protein-coding gene
GFM1	G elongation factor mitochondrial 1	protein-coding gene
GFM2	GTP dependent ribosome recycling factor mitochondrial 2	protein-coding gene
GFOD1	glucose-fructose oxidoreductase domain containing 1	protein-coding gene
GFOD1-AS1	GFOD1 antisense RNA 1	non-coding RNA
GFOD2	glucose-fructose oxidoreductase domain containing 2	protein-coding gene
GFPT1	glutamine--fructose-6-phosphate transaminase 1	protein-coding gene
GFPT2	glutamine-fructose-6-phosphate transaminase 2	protein-coding gene
GFRA1	GDNF family receptor alpha 1	protein-coding gene
GFRA2	GDNF family receptor alpha 2	protein-coding gene
GFRA3	GDNF family receptor alpha 3	protein-coding gene
GFRA4	GDNF family receptor alpha 4	protein-coding gene
GFRAL	GDNF family receptor alpha like	protein-coding gene
GFY	golgi associated olfactory signaling regulator	protein-coding gene
GGA1	golgi associated, gamma adaptin ear containing, ARF binding protein 1	protein-coding gene
GGA2	golgi associated, gamma adaptin ear containing, ARF binding protein 2	protein-coding gene
GGA3	golgi associated, gamma adaptin ear containing, ARF binding protein 3	protein-coding gene
GGACT	gamma-glutamylamine cyclotransferase	protein-coding gene
GGCT	gamma-glutamylcyclotransferase	protein-coding gene
GGCTP1	GGCT pseudogene 1	pseudogene
GGCTP2	GGCT pseudogene 2	pseudogene
GGCTP3	GGCT pseudogene 3	pseudogene
GGCX	gamma-glutamyl carboxylase	protein-coding gene
GGH	gamma-glutamyl hydrolase	protein-coding gene
GGN	gametogenetin	protein-coding gene
GGNBP1	gametogenetin binding protein 1 (pseudogene)	pseudogene
GGNBP2	gametogenetin binding protein 2	protein-coding gene
GGPS1	geranylgeranyl diphosphate synthase 1	protein-coding gene
GGT1	gamma-glutamyltransferase 1	protein-coding gene
GGT2	gamma-glutamyltransferase 2	protein-coding gene
GGT3P	gamma-glutamyltransferase 3 pseudogene	pseudogene
GGT4P	gamma-glutamyltransferase 4 pseudogene	pseudogene
GGT5	gamma-glutamyltransferase 5	protein-coding gene
GGT6	gamma-glutamyltransferase 6	protein-coding gene
GGT7	gamma-glutamyltransferase 7	protein-coding gene
GGT8P	gamma-glutamyltransferase 8 pseudogene	pseudogene
GGTA1P	glycoprotein alpha-galactosyltransferase 1, pseudogene	pseudogene
GGTA2P	glycoprotein alpha-galactosyltransferase 2, pseudogene	pseudogene
GGTL1	gamma-glutamyltransferase-like 1	other
GGTL2	gamma-glutamyltransferase-like 2	other
GGTLC1	gamma-glutamyltransferase light chain 1	protein-coding gene
GGTLC2	gamma-glutamyltransferase light chain 2	protein-coding gene
GGTLC3	gamma-glutamyltransferase light chain family member 3	protein-coding gene
GGTLC4P	gamma-glutamyltransferase light chain 4 pseudogene	pseudogene
GGTLC5P	gamma-glutamyltransferase light chain 5 pseudogene	pseudogene
GH1	growth hormone 1	protein-coding gene
GH2	growth hormone 2	protein-coding gene
GHDC	GH3 domain containing	protein-coding gene
GHET1	gastric carcinoma proliferation enhancing transcript 1	non-coding RNA
GHITM	growth hormone inducible transmembrane protein	protein-coding gene
GHR	growth hormone receptor	protein-coding gene
GHRH	growth hormone releasing hormone	protein-coding gene
GHRHR	growth hormone releasing hormone receptor	protein-coding gene
GHRL	ghrelin and obestatin prepropeptide	protein-coding gene
GHRLOS	ghrelin opposite strand/antisense RNA	non-coding RNA
GHSR	growth hormone secretagogue receptor	protein-coding gene
GID4	GID complex subunit 4 homolog	protein-coding gene
GID8	GID complex subunit 8 homolog	protein-coding gene
GIGYF1	GRB10 interacting GYF protein 1	protein-coding gene
GIGYF2	GRB10 interacting GYF protein 2	protein-coding gene
GIHCG	GIHCG inhibitor of miR-200b/200a/429 expression	non-coding RNA
GIMAP1	GTPase, IMAP family member 1	protein-coding gene
GIMAP1-GIMAP5	GIMAP1-GIMAP5 readthrough	other
GIMAP2	GTPase, IMAP family member 2	protein-coding gene
GIMAP3P	GTPase, IMAP family member 3 pseudogene	pseudogene
GIMAP4	GTPase, IMAP family member 4	protein-coding gene
GIMAP5	GTPase, IMAP family member 5	protein-coding gene
GIMAP6	GTPase, IMAP family member 6	protein-coding gene
GIMAP7	GTPase, IMAP family member 7	protein-coding gene
GIMAP8	GTPase, IMAP family member 8	protein-coding gene
GIMD1	GIMAP family P-loop NTPase domain containing 1	protein-coding gene
GIN1	gypsy retrotransposon integrase 1	protein-coding gene
GINGF2	gingival fibromatosis, hereditary, 2	phenotype
GINGF3	gingival fibromatosis, hereditary, 3	phenotype
GINGF4	gingival fibromatosis, hereditary, 4	phenotype
GINM1	glycoprotein integral membrane 1	protein-coding gene
GINS1	GINS complex subunit 1	protein-coding gene
GINS2	GINS complex subunit 2	protein-coding gene
GINS3	GINS complex subunit 3	protein-coding gene
GINS4	GINS complex subunit 4	protein-coding gene
GIP	gastric inhibitory polypeptide	protein-coding gene
GIPC1	GIPC PDZ domain containing family member 1	protein-coding gene
GIPC2	GIPC PDZ domain containing family member 2	protein-coding gene
GIPC3	GIPC PDZ domain containing family member 3	protein-coding gene
GIPR	gastric inhibitory polypeptide receptor	protein-coding gene
GIT1	GIT ArfGAP 1	protein-coding gene
GIT2	GIT ArfGAP 2	protein-coding gene
GJA1	gap junction protein alpha 1	protein-coding gene
GJA1P1	gap junction protein alpha 1 pseudogene 1	pseudogene
GJA2	gap junction protein, alpha 2, 38kDa (connexin 38)	other
GJA3	gap junction protein alpha 3	protein-coding gene
GJA4	gap junction protein alpha 4	protein-coding gene
GJA5	gap junction protein alpha 5	protein-coding gene
GJA6P	gap junction protein alpha 6, pseudogene	pseudogene
GJA8	gap junction protein alpha 8	protein-coding gene
GJA9	gap junction protein alpha 9	protein-coding gene
GJA10	gap junction protein alpha 10	protein-coding gene
GJA11	gap junction membrane channel protein, alpha 11, 59kDa (connexin 59)	other
GJB1	gap junction protein beta 1	protein-coding gene
GJB2	gap junction protein beta 2	protein-coding gene
GJB3	gap junction protein beta 3	protein-coding gene
GJB4	gap junction protein beta 4	protein-coding gene
GJB5	gap junction protein beta 5	protein-coding gene
GJB6	gap junction protein beta 6	protein-coding gene
GJB7	gap junction protein beta 7	protein-coding gene
GJC1	gap junction protein gamma 1	protein-coding gene
GJC2	gap junction protein gamma 2	protein-coding gene
GJC3	gap junction protein gamma 3	protein-coding gene
GJD2	gap junction protein delta 2	protein-coding gene
GJD3	gap junction protein delta 3	protein-coding gene
GJD4	gap junction protein delta 4	protein-coding gene
GJE1	gap junction protein epsilon 1	protein-coding gene
GK	glycerol kinase	protein-coding gene
GK-AS1	GK antisense RNA 1	non-coding RNA
GK-IT1	GK intronic transcript 1	non-coding RNA
GK2	glycerol kinase 2	protein-coding gene
GK3P	glycerol kinase 3 pseudogene	pseudogene
GK4P	glycerol kinase 4 pseudogene	pseudogene
GK5	glycerol kinase 5	protein-coding gene
GK6P	glycerol kinase 6 pseudogene	pseudogene
GKAP1	G kinase anchoring protein 1	protein-coding gene
GKN1	gastrokine 1	protein-coding gene
GKN2	gastrokine 2	protein-coding gene
GKN3P	gastrokine 3, pseudogene	pseudogene
GKP4	glycerol kinase pseudogene 4	pseudogene
GKP5	glycerol kinase pseudogene 5	other
GLA	galactosidase alpha	protein-coding gene
GLAT	galactose enzyme activator	other
GLB1	galactosidase beta 1	protein-coding gene
GLB1L	galactosidase beta 1 like	protein-coding gene
GLB1L2	galactosidase beta 1 like 2	protein-coding gene
GLB1L3	galactosidase beta 1 like 3	protein-coding gene
GLC#	glaucoma #	other
GLC1B	glaucoma 1, open angle, B (adult-onset)	phenotype
GLC1C	glaucoma 1, open angle, C	phenotype
GLC1D	glaucoma 1, open angle, D (adult-onset)	phenotype
GLC1H	glaucoma 1, open angle, H (adult-onset)	phenotype
GLC1I	glaucoma 1, open angle, I	phenotype
GLC1J	glaucoma 1, open angle, J (juvenile-onset)	phenotype
GLC1K	glaucoma 1, open angle, K (juvenile-onset)	phenotype
GLC1L	glaucoma 1, open angle, L (adult-onset)	phenotype
GLC1M	glaucoma 1, open angle, M (juvenile-onset)	phenotype
